starting training
2024-06-01 00:05:09.444755: I external/local_xla/xla/service/service.cc:168] XLA service 0x7f8dc0d3e9d0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-06-01 00:05:09.445001: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA RTX A4000, Compute Capability 8.6
2024-06-01 00:05:09.468620: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1717200309.632330     297 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Episode: 157/20000, steps: 50[7850], Total reward: -0.005287551879882113[-0.9], time: 8.8s[23.6m], e: 0.9394952807151011
Episode: 158/20000, steps: 50[7900], Total reward: -3.1728605151176446[-1.2], time: 7.7s[23.7m], e: 0.9391194826028151
Episode: 159/20000, steps: 50[7950], Total reward: -3.9915117502212523[-1.3], time: 9.3s[23.9m], e: 0.938743834809774
Episode: 160/20000, steps: 50[8000], Total reward: 0.45579602718353285[-1.4], time: 10.1s[24.0m], e: 0.9383683372758501
Episode: 161/20000, steps: 50[8050], Total reward: 3.1140480518341063[-1.2], time: 9.7s[24.2m], e: 0.9379929899409398
Episode: 162/20000, steps: 50[8100], Total reward: 2.6930503845214844[-0.7], time: 9.4s[24.4m], e: 0.9376177927449635
Episode: 163/20000, steps: 50[8150], Total reward: -1.8127954483032218[-0.8], time: 10.5s[24.5m], e: 0.9372427456278656
Episode: 164/20000, steps: 50[8200], Total reward: -0.8790260672569279[-0.7], time: 8.0s[24.7m], e: 0.9368678485296145
Episode: 165/20000, steps: 50[8250], Total reward: -7.930572158098223[-1.0], time: 8.4s[24.8m], e: 0.9364931013902027
Episode: 166/20000, steps: 50[8300], Total reward: -1.0914357185363774[-1.1], time: 7.2s[24.9m], e: 0.9361185041496467
Episode: 167/20000, steps: 50[8350], Total reward: -5.305289578437805[-0.9], time: 8.4s[25.1m], e: 0.9357440567479869
Episode: 168/20000, steps: 50[8400], Total reward: 0.020124578475952302[-0.9], time: 7.6s[25.2m], e: 0.9353697591252877
Episode: 169/20000, steps: 50[8450], Total reward: 3.8514660835266126[-0.7], time: 10.1s[25.4m], e: 0.9349956112216377
Episode: 170/20000, steps: 50[8500], Total reward: -3.196098828315734[-1.0], time: 7.1s[25.5m], e: 0.9346216129771491
Episode: 171/20000, steps: 50[8550], Total reward: -3.3213970899581913[-1.0], time: 7.6s[25.6m], e: 0.9342477643319582
Episode: 172/20000, steps: 50[8600], Total reward: -0.2675240874290468[-0.9], time: 7.5s[25.7m], e: 0.9338740652262255
Episode: 173/20000, steps: 50[8650], Total reward: -8.60343379676342[-1.4], time: 7.4s[25.9m], e: 0.933500515600135
Episode: 174/20000, steps: 50[8700], Total reward: -1.5600717782974243[-1.6], time: 10.1s[26.0m], e: 0.933127115393895
Episode: 175/20000, steps: 50[8750], Total reward: -8.607848477363587[-1.9], time: 9.2s[26.2m], e: 0.9327538645477376
Episode: 176/20000, steps: 50[8800], Total reward: 3.702947402000428[-1.8], time: 7.8s[26.3m], e: 0.9323807630019185
